name,planet_type,detection_method,discovery_year,year_class,mass_jup,rayon_jup,orbital_radius,orbital_period,eccentricity,distance,luminosité
47 Ursae Majoris d,Gas Giant,Radial Velocity,2009,Before 2010,1.64,1.2,11.6,38.4,0.16,45.0,5.03352
4 Ursae Majoris b,Gas Giant,Radial Velocity,2006,Before 2010,7.1,1.13,0.87,0.7373032,0.43,240.0,4.5801
51 Eridani b,Gas Giant,Direct Imaging,2015,2010–2020,2.0,1.19,13.2,32.0,0.45,97.0,5.21149
51 Pegasi b,Gas Giant,Radial Velocity,1995,Before 2010,0.46,1.27,0.0527,0.011498973,0.01,50.0,5.45309
55 Cancri b,Gas Giant,Radial Velocity,1996,Before 2010,0.8306,1.24,0.1134,0.040246405,0.0,41.0,5.95084
55 Cancri c,Gas Giant,Radial Velocity,2004,Before 2010,0.1714,0.76,0.2373,0.12156058,0.03,41.0,5.95084
55 Cancri d,Gas Giant,Radial Velocity,2002,Before 2010,3.878,1.16,5.957,15.3,0.13,41.0,5.95084
55 Cancri e,Super Earth,Radial Velocity,2004,Before 2010,0.0251685,0.16725,0.01544,0.0019164955,0.05,41.0,5.95084
55 Cancri f,Gas Giant,Radial Velocity,2007,Before 2010,0.141,0.677,0.7708,0.7115674,0.08,41.0,5.95084
61 Virginis b,Neptune-like,Radial Velocity,2009,Before 2010,0.016065,0.188212,0.050201,0.011498973,0.12,28.0,4.6955
61 Virginis c,Neptune-like,Radial Velocity,2009,Before 2010,0.05733,0.398,0.2175,0.10403833,0.14,28.0,4.6955
61 Virginis d,Neptune-like,Radial Velocity,2009,Before 2010,0.07213499999999999,0.456,0.476,0.33675563,0.35,28.0,4.6955
6 Lyncis b,Gas Giant,Radial Velocity,2008,Before 2010,02.01,1.19,2.11,2.6,0.07,178.0,5.87307
70 Virginis b,Gas Giant,Radial Velocity,1996,Before 2010,7.49,1.13,0.481,0.31950718,0.4,58.0,4.96808
75 Ceti b,Gas Giant,Radial Velocity,2012,2010–2020,3.0,1.17,2.1,1.9,0.12,271.0,5.3532
7 Canis Majoris b,Gas Giant,Radial Velocity,2011,2010–2020,1.85,1.2,1.758,2.0,0.06,65.0,3.95
7 Canis Majoris c,Gas Giant,Radial Velocity,2019,2010–2020,0.87,1.24,2.153,2.7,0.08,65.0,3.95
81 Ceti b,Gas Giant,Radial Velocity,2008,Before 2010,5.3,1.14,2.5,2.6,0.21,330.0,5.64307
8 Ursae Minoris b,Gas Giant,Radial Velocity,2015,2010–2020,1.31,1.22,0.49,0.25571528,0.06,530.0,6.83295
91 Aquarii b,Gas Giant,Radial Velocity,2013,2010–2020,3.2,1.17,0.7,0.4966461,0.03,144.0,4.23946
AB Aurigae b,Gas Giant,Direct Imaging,2022,After 2020,9.0,1.12,93.9,587.7,0.4,529.0,7.076
AB Pictoris b,Gas Giant,Direct Imaging,2005,Before 2010,13.5,1.1,260.0,4421.7,0.0,163.0,9.13
Alpha Arietis b,Gas Giant,Radial Velocity,2010,2010–2020,1.8,1.2,1.2,1.0425736,0.25,66.0,2.00538
Alpha Tauri b,Gas Giant,Radial Velocity,2015,2010–2020,6.47,1.13,1.46,1.7,0.1,67.0,0.872
AU Microscopii b,Neptune-like,Transit,2020,2010–2020,0.063378,0.363,0.0645,0.023271732,0.19,32.0,8.81
AU Microscopii c,Neptune-like,Transit,2021,After 2020,0.03024,0.289,0.1101,0.051745377,0.04,32.0,8.81
b Centauri AB b,Gas Giant,Direct Imaging,2021,After 2020,10.9,1.11,556.0,4904.1,0.4,320.0,04.01
BD-00 4475 b,Gas Giant,Radial Velocity,2021,After 2020,25.05,01.07,1.48,2.0,0.39,139.0,09.01
BD+03 2562 b,Gas Giant,Radial Velocity,2017,2010–2020,6.4,1.13,1.3,1.3193703,0.2,3492.0,9.577
BD-06 1339 b,Neptune-like,Radial Velocity,2013,2010–2020,0.026775,0.254,0.0428,0.010677618,0.0,66.0,9.7
BD-06 1339 c,Gas Giant,Radial Velocity,2013,2010–2020,0.17,0.747,0.435,0.34469542,0.31,66.0,9.7
BD-08 2823 b,Neptune-like,Radial Velocity,2009,Before 2010,0.040046580000000005,0.322,0.06,0.015331964,0.15,135.0,9.86
BD-08 2823 c,Gas Giant,Radial Velocity,2009,Before 2010,0.33,1.11,0.68,0.65051335,0.19,135.0,9.86
BD-10 3166 b,Gas Giant,Radial Velocity,2000,Before 2010,0.59,1.26,0.04,0.009582478,0.02,275.0,10.013
BD-11 4672 b,Gas Giant,Radial Velocity,2014,2010–2020,0.65,1.25,2.36,4.5,0.05,89.0,10.03
BD-11 4672 c,Neptune-like,Radial Velocity,2020,2010–2020,0.0484155,0.36,0.3,0.20314851,0.4,89.0,10.03
BD-13 2130 b,Gas Giant,Radial Velocity,2007,Before 2010,9.78,1.11,1.66,2.0,0.21,3018.0,10.038
BD+14 4559 b,Gas Giant,Radial Velocity,2009,Before 2010,01.04,1.23,0.78,0.7362081,0.29,161.0,9.78
BD+15 2375 b,Gas Giant,Radial Velocity,2016,2010–2020,1.061,1.23,0.576,0.41943872,0.0,2505.0,10.41
BD+15 2940 b,Gas Giant,Radial Velocity,2013,2010–2020,1.11,1.23,0.539,0.37645447,0.26,1391.0,09.01
BD-17 63 b,Gas Giant,Radial Velocity,2008,Before 2010,5.1,1.15,1.34,1.8,0.54,112.0,9.62
BD+20 2457 b,Gas Giant,Radial Velocity,2009,Before 2010,55.59,01.03,01.05,1.0392882,0.15,5023.0,9.743
BD+20 2457 c,Gas Giant,Radial Velocity,2009,Before 2010,12.47,1.1,02.01,1.7,0.18,5023.0,9.743
BD+20 274 b,Gas Giant,Radial Velocity,2012,2010–2020,4.2,1.16,1.3,1.6,0.21,4314.0,9.367
BD+20 594 b,Neptune-like,Transit,2016,2010–2020,0.070081515,0.23,0.241,0.11416838,0.0,585.0,10.849
BD+45 564 b,Gas Giant,Radial Velocity,2021,After 2020,1.36,1.21,0.83,0.84298426,0.12,175.0,9.67
BD+48 738 b,Gas Giant,Radial Velocity,2011,2010–2020,0.91,1.24,1.0,1.0748802,0.2,2843.0,9.139
BD+48 740 b,Gas Giant,Radial Velocity,2018,2010–2020,1.7,1.2,1.7,2.0,0.76,2174.0,8.69
BD+49 828 b,Gas Giant,Radial Velocity,2015,2010–2020,1.6,1.21,4.2,7.1,0.35,1442.0,9.381
BD+55 362 b,Gas Giant,Radial Velocity,2021,After 2020,0.72,1.25,0.78,0.7271732,0.27,171.0,9.38
BD+60 1417 b,Gas Giant,Direct Imaging,2021,After 2020,15.0,1.31,1662.0,67794.6,0.0,147.0,9.374
BD+63 1405 b,Gas Giant,Radial Velocity,2021,After 2020,3.96,1.16,02.06,3.3,0.88,124.0,8.96
Beta Cancri b,Gas Giant,Radial Velocity,2014,2010–2020,7.8,1.12,1.7,1.7,0.08,290.0,3.51012
Beta Pictoris b,Gas Giant,Direct Imaging,2008,Before 2010,11.73313,1.65,10.019926,23.6,0.11,64.0,3.85
Beta Pictoris c,Gas Giant,Radial Velocity,2019,2010–2020,10.14112,1.11,2.680483,3.3,0.31,64.0,3.85
Beta Ursae Minoris b,Gas Giant,Radial Velocity,2014,2010–2020,6.1,1.14,1.4,1.4,0.19,126.0,2.0569
CD Ceti b,Super Earth,Radial Velocity,2020,2010–2020,0.0124425,0.16234400000000002,0.0185,0.0062970566,0.0,28.0,13.95
COCONUTS-2 b,Gas Giant,Direct Imaging,2021,After 2020,6.3,1.11,7506.0,1101369.9,0.0,36.0,11.298
CoRoT-10 b,Gas Giant,Transit,2010,2010–2020,2.75,0.97,0.1055,0.03613963,0.53,1104.0,15.293
CoRoT-11 b,Gas Giant,Transit,2010,2010–2020,2.33,1.43,0.0436,0.008213553,0.0,2137.0,12.897
CoRoT-12 b,Gas Giant,Transit,2010,2010–2020,0.917,1.44,0.04016,0.007665982,0.07,3674.0,15.588
CoRoT-13 b,Gas Giant,Transit,2010,2010–2020,1.308,0.885,0.051,0.0109514035,0.0,3748.0,15.005
CoRoT-14 b,Gas Giant,Transit,2010,2010–2020,7.6,01.09,0.027,0.0041067763,0.0,5691.0,15.932
CoRoT-16 b,Gas Giant,Transit,2011,2010–2020,0.535,1.17,0.0618,0.014784395,0.33,2389.0,16.052
CoRoT-17 b,Gas Giant,Transit,2011,2010–2020,2.43,01.02,0.0461,0.010403832,0.0,3837.0,16.29
CoRoT-18 b,Gas Giant,Transit,2011,2010–2020,3.47,1.31,0.0295,0.005201916,0.08,2495.0,14.868
CoRoT-19 b,Gas Giant,Transit,2011,2010–2020,1.11,1.29,0.0518,0.010677618,0.05,2579.0,14.135
CoRoT-1 b,Gas Giant,Transit,2008,Before 2010,01.03,1.49,0.02752,0.0041067763,0.0,2570.0,13.623
CoRoT-20 b,Gas Giant,Transit,2011,2010–2020,4.3,0.84,0.09,0.025188226,0.59,2753.0,14.63
CoRoT-20 c,Gas Giant,Radial Velocity,2018,2010–2020,17.0,01.09,2.9,4.6,0.6,2753.0,14.63
CoRoT-21 b,Gas Giant,Transit,2012,2010–2020,2.26,1.3,0.0417,0.0073921974,0.0,4563.0,16.058
CoRoT-22 b,Neptune-like,Transit,2014,2010–2020,0.03843,0.435,0.092,0.026830938,0.08,2046.0,13.82
CoRoT-23 b,Gas Giant,Transit,2011,2010–2020,2.8,01.05,0.048,0.009856262,0.16,3461.0,15.675
CoRoT-24 b,Neptune-like,Transit,2014,2010–2020,0.017955000000000002,0.33,0.056,0.013963039,0.0,1930.0,15.383
CoRoT-24 c,Neptune-like,Transit,2014,2010–2020,0.0882,0.44,0.098,0.03230664,0.0,1930.0,15.383
CoRoT-25 b,Gas Giant,Transit,2013,2010–2020,0.27,01.08,0.0578,0.013415469,0.0,3600.0,14.79
CoRoT-26 b,Gas Giant,Transit,2013,2010–2020,0.52,1.26,0.0526,0.011498973,0.0,3409.0,15.861
CoRoT-27 b,Gas Giant,Transit,2014,2010–2020,10.39,1.007,0.0476,0.009856262,0.065,3296.0,15.774
CoRoT-28 b,Gas Giant,Transit,2015,2010–2020,0.484,0.955,0.0603,0.014236824,0.05,2499.0,13.783
CoRoT-29 b,Gas Giant,Transit,2015,2010–2020,0.85,0.9,0.0386,0.007939767,0.08,2631.0,15.408
CoRoT-2 b,Gas Giant,Transit,2008,Before 2010,3.47,1.466,0.02798,0.0046543465,0.01,696.0,12.516
CoRoT-30 b,Gas Giant,Transit,2020,2010–2020,2.9,1.009,0.0844,0.024914443,0.01,3367.0,15.571
CoRoT-31 b,Gas Giant,Transit,2020,2010–2020,0.84,1.46,0.0586,0.012594113,0.02,6543.0,15.479
CoRoT-35 b,Gas Giant,Transit,2022,After 2020,1.1,1.68,0.0429,0.008761123,0.0,3664.0,15.635
CoRoT-36 b,Gas Giant,Transit,2022,After 2020,0.68,1.41,0.066,0.015331964,0.0,3020.0,13.126
CoRoT-3 b,Gas Giant,Transit,2008,Before 2010,21.66,01.01,0.05783,0.011772759,0.0,2508.0,13.448
CoRoT-4 b,Gas Giant,Transit,2008,Before 2010,0.72,1.19,0.09,0.025188226,0.0,2370.0,13.652
CoRoT-5 b,Gas Giant,Transit,2009,Before 2010,0.467,1.388,0.04947,0.0109514035,0.09,2879.0,14.043
CoRoT-6 b,Gas Giant,Transit,2009,Before 2010,2.96,1.166,0.0855,0.02436687,0.1,2105.0,13.961
CoRoT-7 b,Super Earth,Transit,2009,Before 2010,0.012841321499999999,0.1499452,0.017016,0.0024640656,0.0,522.0,11.728
CoRoT-7 c,Neptune-like,Radial Velocity,2009,Before 2010,0.02646,0.253,0.046,0.010130048,0.0,522.0,11.728
CoRoT-8 b,Gas Giant,Transit,2010,2010–2020,0.22,0.57,0.063,0.016974675,0.0,1050.0,14.792
CoRoT-9 b,Gas Giant,Transit,2009,Before 2010,0.84,1.066,0.4021,0.2609172,0.13,1347.0,13.637
CoRoTID 223977153 b,Gas Giant,Transit,2017,2010–2020,0.15,0.57,0.071,0.0183436,0.0,1881.0,13.626
CT Chamaleontis b,Gas Giant,Direct Imaging,2007,Before 2010,17.0,2.2,440.0,0.99931556,0.0,622.0,12.335
DE Canum Venaticorum b,Gas Giant,Eclipse Timing Variations,2018,2010–2020,12.0293,1.1,5.75,11.2,0.0,100.0,12.956
DH Tauri b,Gas Giant,Direct Imaging,2004,Before 2010,11.0,2.7,330.0,10441.5,0.0,440.0,13.98
DMPP-1 b,Neptune-like,Radial Velocity,2019,2010–2020,0.0764505,0.472,0.1462,0.050924025,0.083,204.0,7.98
DMPP-1 c,Neptune-like,Radial Velocity,2019,2010–2020,0.03024,0.273,0.0733,0.018069815,0.057,204.0,7.98
DMPP-1 d,Super Earth,Radial Velocity,2019,2010–2020,0.010552500000000001,0.14718,0.0422,0.007939767,0.07,204.0,7.98
DMPP-1 e,Super Earth,Radial Velocity,2019,2010–2020,0.0130095,0.165912,0.0651,0.015058179,0.07,204.0,7.98
DMPP-2 b,Gas Giant,Radial Velocity,2019,2010–2020,0.437,1.28,0.0664,0.014236824,0.08,450.0,8.57
DMPP-3 A b,Super Earth,Radial Velocity,2019,2010–2020,0.008127,0.125772,0.0662,0.0183436,0.14,148.0,9.066
DP Leonis b,Gas Giant,Eclipse Timing Variations,2009,Before 2010,6.28,1.14,8.19,28.0,0.39,997.0,18.6837
EPIC 201170410.02,Super Earth,Transit,2020,2010–2020,0.0036225,0.0933924,0.0349,0.018617386,0.0,437.0,17.6984
EPIC 201757695.02,Terrestrial,Transit,2020,2010–2020,0.0021671999999999998,0.0809936,0.0296,0.0054757018,0.0,1884.0,14.974
EPIC 201841433 b,Super Earth,Transit,2019,2010–2020,0.0035280000000000003,0.092768,0.035,0.011498973,0.0,1424.0,14.983
EPIC 211822797 b,Super Earth,Transit,2016,2010–2020,0.0137025,0.171264,0.1195,0.05804244,0.06,607.0,15.133
EPIC 211945201 b,Neptune-like,Transit,2018,2010–2020,0.08505,0.514,0.1493,0.05338809,0.0,593.0,10.154
EPIC 212737443 b,Neptune-like,Transit,2019,2010–2020,0.022680000000000002,0.231,0.098,0.037234772,0.2,1097.0,14.81
EPIC 212737443 c,Neptune-like,Transit,2019,2010–2020,0.024255000000000002,0.24,0.28,0.17960301,0.2,1097.0,14.81
EPIC 220674823 b,Super Earth,Transit,2016,2010–2020,0.024318,0.14272,0.01312,0.0016427105,0.0,798.0,12.101
EPIC 220674823 c,Neptune-like,Transit,2016,2010–2020,0.018269999999999998,0.19624000000000003,0.1091,0.036413416,0.18,798.0,12.101
EPIC 246851721 b,Gas Giant,Transit,2018,2010–2020,3.0,1.051,0.07229,0.016974675,0.0,1216.0,11.237
EPIC 248847494 b,Gas Giant,Transit,2018,2010–2020,13.0,1.11,4.5,10.0,0.0,1800.0,12.353
EPIC 249893012 b,Super Earth,Transit,2020,2010–2020,0.0275625,0.17394,0.047,0.009856262,0.06,1048.0,11.429
EPIC 249893012 c,Neptune-like,Transit,2020,2010–2020,0.0462105,0.327,0.13,0.042710472,0.07,1048.0,11.429
EPIC 249893012 d,Neptune-like,Transit,2020,2010–2020,0.032067,0.352,0.22,0.097741276,0.15,1048.0,11.429
Epsilon Coronae Borealis b,Gas Giant,Radial Velocity,2012,2010–2020,6.7,1.13,1.3,1.1441479,0.11,228.0,4.12577
Epsilon Eridani b,Gas Giant,Radial Velocity,2000,Before 2010,0.66,1.25,3.53,7.3,0.07,10.0,3.71548
Epsilon Indi A b,Gas Giant,Radial Velocity,2019,2010–2020,3.25,1.17,11.55,45.2,0.26,12.0,4.69
Epsilon Tauri b,Gas Giant,Radial Velocity,2006,Before 2010,7.6,1.13,1.93,1.6,0.15,155.0,3.523
G 264-012 b,Super Earth,Radial Velocity,2021,After 2020,0.007875,0.12398799999999999,0.02279,0.0062970566,0.0,52.0,13.078
G 264-012 c,Super Earth,Radial Velocity,2021,After 2020,0.0118125,0.156992,0.0525,0.022176592,0.0,52.0,13.078
G 9-40 b,Super Earth,Transit,2019,2010–2020,0.014993999999999999,0.18062999999999999,0.0385,0.015605749,0.0,91.0,13.821
Gaia-1 b,Gas Giant,Transit,2022,After 2020,1.68,1.229,0.04047,0.008487337,0.0,1186.0,13.242
Gaia-2 b,Gas Giant,Transit,2022,After 2020,0.817,1.322,0.0467,0.010130048,0.0,683.0,11.277
gam1 Leonis b,Gas Giant,Radial Velocity,2009,Before 2010,8.78,1.12,1.19,1.173169,0.14,130.0,1.99509
Gamma Cephei b,Gas Giant,Radial Velocity,2003,Before 2010,9.4,1.12,02.05,2.5,0.05,46.0,3.23006
Gamma Librae b,Gas Giant,Radial Velocity,2018,2010–2020,01.02,1.23,1.24,1.1367557,0.21,155.0,3.90672
Gamma Librae c,Gas Giant,Radial Velocity,2018,2010–2020,4.58,1.15,2.17,2.6,0.06,155.0,3.90672
Gamma Piscium b,Gas Giant,Radial Velocity,2021,After 2020,1.34,1.22,1.32,1.5,0.2,135.0,3.69252
GJ 1002 b,Super Earth,Radial Velocity,2022,After 2020,0.003402,0.091876,0.0457,0.028199865,0.0,16.0,13.76
GJ 1002 c,Super Earth,Radial Velocity,2022,After 2020,0.0042840000000000005,0.09812000000000001,0.0738,0.05804244,0.0,16.0,13.76
GJ 1061 b,Super Earth,Radial Velocity,2020,2010–2020,0.004315500000000001,0.09812000000000001,0.021,0.008761123,0.31,12.0,12.7
GJ 1061 c,Super Earth,Radial Velocity,2020,2010–2020,0.005481,0.105256,0.035,0.0183436,0.29,12.0,12.7
GJ 1061 d,Super Earth,Radial Velocity,2020,2010–2020,0.005166,0.103472,0.054,0.03559206,0.53,12.0,12.7
GJ 1132 b,Super Earth,Transit,2015,2010–2020,0.005229,0.100796,0.0153,0.0043805614,0.22,41.0,13.68
GJ 1132 c,Super Earth,Radial Velocity,2018,2010–2020,0.008316,0.127556,0.0476,0.02436687,0.27,41.0,13.68
GJ 1148 b,Gas Giant,Radial Velocity,2010,2010–2020,0.30425,01.07,0.166,0.113347024,0.38,36.0,11.939
GJ 1148 c,Gas Giant,Radial Velocity,2017,2010–2020,0.21414,0.866,0.912,1.5,0.34,36.0,11.939
GJ 1151 c,Neptune-like,Radial Velocity,2023,After 2020,0.033453,0.29,0.5714,1.0669404,0.0,26.0,13.76
GJ 1214 b,Neptune-like,Transit,2009,Before 2010,0.0257355,0.245,0.0149,0.0043805614,0.063,48.0,15.1
GJ 1252 b,Super Earth,Transit,2020,2010–2020,0.004158,0.105256,0.00915,0.0013689254,0.0,66.0,12.68
GJ 1265 b,Neptune-like,Radial Velocity,2018,2010–2020,0.02331,0.234,0.026,0.010130048,0.04,33.0,14.01
GJ 143 b,Neptune-like,Transit,2019,2010–2020,0.071505,0.233,0.1915,0.09746748,0.19,53.0,08.08
GJ 15 A b,Super Earth,Radial Velocity,2014,2010–2020,0.0095445,0.13826,0.072,0.031211497,0.09,12.0,08.09
GJ 15 A c,Neptune-like,Radial Velocity,2018,2010–2020,0.1134,0.595,5.4,20.8,0.27,12.0,08.09
GJ 160.2 b,Neptune-like,Radial Velocity,2014,2010–2020,0.03213,0.283,0.053,0.014236824,0.06,84.0,9.7
GJ 163 b,Neptune-like,Radial Velocity,2013,2010–2020,0.033389999999999996,0.29,0.0607,0.023545519,0.07,49.0,11.79
GJ 163 c,Neptune-like,Radial Velocity,2013,2010–2020,0.021419999999999998,0.223,0.1254,0.07008898,0.1,49.0,11.79
GJ 163 d,Neptune-like,Radial Velocity,2013,2010–2020,0.09261,0.528,1.0304,1.7,0.37,49.0,11.79
GJ 179 b,Gas Giant,Radial Velocity,2009,Before 2010,0.82,1.24,2.41,6.3,0.21,40.0,11.963
GJ 180 b,Neptune-like,Radial Velocity,2014,2010–2020,0.0204435,0.217,0.092,0.04681725,0.07,39.0,10.914
GJ 180 c,Neptune-like,Radial Velocity,2014,2010–2020,0.02016,0.215,0.129,0.06652977,0.09,39.0,10.914
GJ 180 d,Neptune-like,Radial Velocity,2020,2010–2020,0.023814,0.237,0.309,0.29103354,0.14,39.0,10.914
GJ 2030 b,Super Earth,Radial Velocity,2022,After 2020,0.014466312,0.176616,0.034411,0.006570842,0.24,121.0,6.20902
GJ 2030 c,Gas Giant,Radial Velocity,2022,After 2020,12.79888,1.1,16.763449,70.0,0.04,121.0,6.20902
GJ 2056 b,Neptune-like,Radial Velocity,2020,2010–2020,0.05103,0.372,0.283,0.19164956,0.72,93.0,10.37
GJ 229 A c,Neptune-like,Radial Velocity,2020,2010–2020,0.027014809499999997,0.256,0.384214,0.33374402,0.37,19.0,8.15
GJ 229 b,Neptune-like,Radial Velocity,2014,2010–2020,0.0467789175,0.353,1.086215,1.6,0.4,19.0,8.15
GJ 251 b,Super Earth,Radial Velocity,2020,2010–2020,0.0126,0.16323600000000002,0.0818,0.03887748,0.1,18.0,9.89
GJ 27.1 b,Neptune-like,Radial Velocity,2014,2010–2020,0.04095,0.327,0.101,0.04325804,0.08,77.0,11.45
GJ 273 b,Super Earth,Radial Velocity,2017,2010–2020,0.0091035,0.134692,0.091101,0.050924025,0.1,19.0,9.84
GJ 273 c,Super Earth,Radial Velocity,2017,2010–2020,0.003717,0.09455200000000001,0.036467,0.012867898,0.17,19.0,9.84
GJ 3021 b,Gas Giant,Radial Velocity,2000,Before 2010,3.37,1.17,0.49,0.36605063,0.51,57.0,6.59
GJ 3082 b,Neptune-like,Radial Velocity,2020,2010–2020,0.02583,0.249,0.079,0.032580424,0.22,54.0,11.041
GJ 3090 b,Neptune-like,Transit,2022,After 2020,0.010520999999999999,0.189996,0.03165,0.007939767,0.32,73.0,11.403
GJ 3138 b,Super Earth,Radial Velocity,2017,2010–2020,0.005607,0.105256,0.0197,0.003285421,0.19,93.0,10.8275
GJ 3138 c,Super Earth,Radial Velocity,2017,2010–2020,0.013167,0.16769599999999998,0.057,0.016427105,0.11,93.0,10.8275
GJ 3138 d,Neptune-like,Radial Velocity,2017,2010–2020,0.033075,0.288,0.698,0.7058179,0.32,93.0,10.8275
GJ 317 b,Gas Giant,Radial Velocity,2007,Before 2010,2.5,1.18,1.151,1.9,0.07,50.0,12.4
GJ 317 c,Gas Giant,Radial Velocity,2018,2010–2020,1.64396,1.2,5.23,18.5,0.17,50.0,12.4
GJ 3222 b,Neptune-like,Radial Velocity,2022,After 2020,0.0369800235,0.308,0.091179,0.029295003,0.93,59.0,6.9
GJ 328 b,Gas Giant,Radial Velocity,2013,2010–2020,2.3,1.19,4.5,11.2,0.37,67.0,9.99
GJ 3293 b,Neptune-like,Radial Velocity,2015,2010–2020,0.074151,0.463,0.14339,0.08377823,0.06,66.0,11.945
GJ 3293 c,Neptune-like,Radial Velocity,2015,2010–2020,0.0664335,0.434,0.36175,0.33566052,0.11,66.0,11.945
GJ 3293 d,Neptune-like,Radial Velocity,2017,2010–2020,0.02394,0.238,0.19394,0.13169062,0.12,66.0,11.945
GJ 3293 e,Super Earth,Radial Velocity,2017,2010–2020,0.010332,0.145396,0.08208,0.036413416,0.21,66.0,11.945
GJ 3323 b,Super Earth,Radial Velocity,2017,2010–2020,0.006363,0.109716,0.03282,0.014784395,0.23,18.0,12.57
GJ 3323 c,Super Earth,Radial Velocity,2017,2010–2020,0.0072765,0.117744,0.1264,0.11088296,0.17,18.0,12.57
GJ 3341 b,Neptune-like,Radial Velocity,2015,2010–2020,0.02079,0.219,0.089,0.03887748,0.31,77.0,12.062
GJ 338 B b,Neptune-like,Radial Velocity,2020,2010–2020,0.033389999999999996,0.29,0.142,0.06680356,0.11,21.0,7.7
GJ 3470 b,Neptune-like,Radial Velocity,2012,2010–2020,0.043785000000000004,0.408,0.0355,0.009034907,0.02,96.0,12.332
GJ 3473 b,Super Earth,Transit,2020,2010–2020,0.0058590000000000005,0.1127488,0.01589,0.003285421,0.0,89.0,13.74
GJ 3473 c,Neptune-like,Radial Velocity,2020,2010–2020,0.0233415,0.235,0.0876,0.042436685,0.0,89.0,13.74
GJ 3512 b,Gas Giant,Radial Velocity,2019,2010–2020,0.46,1.27,0.337,0.5577002,0.44,31.0,15.18
GJ 3512 c,Gas Giant,Radial Velocity,2020,2010–2020,0.2,0.832,1.292,4.4,0.02,31.0,15.18
GJ 357 b,Super Earth,Transit,2019,2010–2020,0.005796,0.10855640000000001,0.035,0.010677618,0.0,31.0,10.91
GJ 357 c,Super Earth,Radial Velocity,2019,2010–2020,0.010709999999999999,0.148072,0.061,0.024914443,0.0,31.0,10.91
GJ 357 d,Neptune-like,Radial Velocity,2019,2010–2020,0.019215,0.209,0.204,0.15249829,0.0,31.0,10.91
GJ 3634 b,Neptune-like,Radial Velocity,2010,2010–2020,0.02646,0.253,0.0287,0.007118412,0.08,66.0,11.938
GJ 367 b,Terrestrial,Transit,2021,After 2020,0.0017199000000000001,0.0640456,0.0071,0.00082135526,0.0,31.0,10.153
GJ 3779 b,Neptune-like,Radial Velocity,2018,2010–2020,0.0252,0.245,0.026,0.008213553,0.07,45.0,13.04
GJ 3929 b,Super Earth,Transit,2022,After 2020,0.0055125,0.09722800000000001,0.0252,0.007118412,0.0,52.0,12.675
